rating_year,0,1,2,3,4,5
1995,0.08943089430894309,0.34146341463414637,0.35772357723577236,0.0,0.008130081300813009,0.2032520325203252
1996,0.09243697478991597,0.3025210084033613,0.31932773109243695,0.0,0.0,0.2857142857142857
1997,0.0782608695652174,0.2956521739130435,0.3391304347826087,0.0,0.008695652173913044,0.2782608695652174
1998,0.17412935323383086,0.26865671641791045,0.31592039800995025,0.0,0.0,0.24129353233830847
1999,0.16295546558704455,0.27530364372469635,0.32945344129554655,0.0020242914979757085,0.020242914979757085,0.21002024291497975
2000,0.052608272075104066,0.019573111327606058,0.20851415581731764,0.19233607888288606,0.5117940542615063,0.01517432763557996
2001,0.04273094056064674,0.0161234682705143,0.17453841885020924,0.2856028677275659,0.47086526779955906,0.010139036791504807
2002,0.06325401384815409,0.020875034015662323,0.1865086324191939,0.3451213981193118,0.37910077706890816,0.005140144528769691
2003,0.04640644068198244,0.027582611580431512,0.22766614139642896,0.2898158789587801,0.4045005390931387,0.004028388289238279
2004,0.03733293053967158,0.027014220054808708,0.1782689942386121,0.3794868696459012,0.37582374900200677,0.002073236518999633
2005,0.03608683151545956,0.040034501733162906,0.1807507465145604,0.38804704468534396,0.35341393788180464,0.0016669376696685184
2006,0.08222811671087533,0.3660477453580902,0.3209549071618037,0.0,0.002652519893899204,0.22811671087533156
